2019-06-11T13:09:13.873671Z,"[""eui-b827ebfffe869f8d"",""eui-b827ebfffe962101""]","[-108,-116]","[4,-9]","[43.61499,43.61523]","[7.07144,7.07274]","[129,113]","[1873440828,1835429588]"

2019-06-11T13:09:15.864204Z,"[""eui-b827ebfffe962101"",""eui-b827ebfffe869f8d""]","[-117,-105]","[-12.8,5]","[43.61523,43.61499]","[7.07274,7.07144]","[113,129]","[1837418860,1875430092]"

2019-06-11T13:09:35.310028Z,"[""eui-0000024b08031311""]",[-119],[-2.8],[43.475],[5.60761],[232],[3598276388]

2019-06-11T13:09:36.673141Z,"[""eui-0000024b08031311""]",[-120],[-6.5],[43.475],[5.60761],[232],[3599639500]

2019-06-11T13:09:40.862164Z,"[""eui-b827ebfffe869f8d"",""eui-b827ebfffe962101""]","[-108,-120]","[6,-8.5]","[43.61499,43.61523]","[7.07144,7.07274]","[129,113]","[1900429516,1862418292]"

2019-06-11T13:09:52.919097Z,"[""eui-0000024b08031311""]",[-115],[-2],[43.475],[5.60761],[232],[3615885460]

2019-06-11T13:10:03.872813Z,"[""eui-b827ebfffe869f8d"",""eui-b827ebfffe962101""]","[-105,-118]","[4,-5.2]","[43.61499,43.61523]","[7.07144,7.07274]","[129,113]","[1923438748,1885427532]"

2019-06-11T13:10:05.864735Z,"[""eui-b827ebfffe962101"",""eui-b827ebfffe869f8d""]","[-119,-105]","[-13.2,4]","[43.61523,43.61499]","[7.07274,7.07144]","[113,129]","[1887416804,1925428028]"

2019-06-11T13:10:09.165037Z,"[""eui-0000024b08031311""]",[-111],[3.5],[43.47499],[5.60761],[231],[3632131404]

2019-06-11T13:10:25.410999Z,"[""eui-0000024b08031311""]",[-114],[0.2],[43.47497],[5.60763],[235],[3648377372]

2019-06-11T13:10:28.877227Z,"[""eui-b827ebfffe869f8d"",""eui-b827ebfffe962101""]","[-105,-117]","[4,-4.5]","[43.61499,43.61523]","[7.07144,7.07274]","[129,113]","[1948438100,1910426884]"

2019-06-11T13:10:30.861915Z,"[""eui-b827ebfffe869f8d"",""eui-b827ebfffe962101""]","[-105,-119]","[6.8,-11.8]","[43.61499,43.61523]","[7.07144,7.07274]","[129,113]","[1950427500,1912416284]"

2019-06-11T13:10:41.656932Z,"[""eui-0000024b08031311""]",[-111],[6.2],[43.47497],[5.60763],[235],[3664623308]

2019-06-11T13:10:53.873412Z,"[""eui-b827ebfffe869f8d"",""eui-b827ebfffe962101""]","[-107,-120]","[7.8,-6.8]","[43.61499,43.61523]","[7.07144,7.07274]","[129,113]","[1973437524,1935426316]"

2019-06-11T13:10:54.863961Z,"[""eui-0000024b08031311""]",[-105],[10.2],[43.47495],[5.60762],[241],[3677830340]

2019-06-11T13:10:55.85873Z,"[""eui-b827ebfffe869f8d""]",[-109],[6],[43.61499],[7.07144],[129],[1975426116]

2019-06-11T13:10:57.90288Z,"[""eui-0000024b08031311""]",[-117],[0.5],[43.47495],[5.60762],[241],[3680869260]

2019-06-11T13:11:14.148819Z,"[""eui-0000024b08031311""]",[-111],[5.2],[43.47495],[5.60762],[241],[3697115204]

2019-06-11T13:11:18.869432Z,"[""eui-b827ebfffe869f8d"",""eui-b827ebfffe962101""]","[-106,-117]","[5.2,-11.8]","[43.61499,43.61523]","[7.07144,7.07274]","[129,113]","[1998435940,1960424740]"

2019-06-11T13:11:20.864762Z,"[""eui-b827ebfffe869f8d""]",[-109],[7.5],[43.61499],[7.07144],[129],[2000425372]

2019-06-11T13:11:43.868297Z,"[""eui-b827ebfffe869f8d""]",[-108],[4.8],[43.61499],[7.07144],[129],[2023435404]

2019-06-11T13:11:45.86302Z,"[""eui-b827ebfffe869f8d""]",[-108],[4.5],[43.61499],[7.07144],[129],[2025423684]

2019-06-11T13:12:02.886623Z,"[""eui-0000024b08031311""]",[-107],[7.2],[43.4749],[5.6076],[241],[3745853020]

2019-06-11T13:12:08.869344Z,"[""eui-b827ebfffe869f8d""]",[-107],[7.2],[43.61499],[7.07144],[129],[2048434988]

2019-06-11T13:12:10.864831Z,"[""eui-b827ebfffe962101"",""eui-b827ebfffe869f8d""]","[-119,-108]","[-12.8,5.8]","[43.61523,43.61499]","[7.07274,7.07144]","[113,129]","[2012412092,2050423276]"

2019-06-11T13:12:14.29418Z,"[""eui-0000024b08031311""]",[-106],[8.5],[43.4749],[5.6076],[241],[3757260580]

2019-06-11T13:12:19.132611Z,"[""eui-0000024b08031311""]",[-111],[3.8],[43.4749],[5.6076],[241],[3762099012]

2019-06-11T13:12:33.873849Z,"[""eui-b827ebfffe869f8d""]",[-108],[5.5],[43.61499],[7.07144],[129],[2073433476]

2019-06-11T13:12:35.378557Z,"[""eui-0000024b08031311""]",[-115],[-1.8],[43.47488],[5.6076],[241],[3778344964]

